"","employees","salaries.2014","salaries.2015","raise","got.raise"
"1","Employee 1",64595.6928352825,56274.3401050102,-8321.35273027234,FALSE
"2","Employee 2",62967.9341241717,77623.5744182486,14655.6402940769,TRUE
"3","Employee 3",62522.4895752035,53193.2815455366,-9329.20802966692,FALSE
"4","Employee 4",64240.8006847836,71690.3419001028,7449.54121531919,TRUE
"5","Employee 5",67044.4726175629,70411.7757349741,3367.30311741121,TRUE
"6","Employee 6",66844.542962499,61361.656828085,-5482.886134414,FALSE
"7","Employee 7",60552.4707143195,72501.5410687774,11949.0703544579,TRUE
"8","Employee 8",61398.1348159723,63139.0947871841,1740.95997121185,TRUE
"9","Employee 9",63910.8817256056,77695.8313910291,13784.9496654235,TRUE
"10","Employee 10",62406.1429128051,63180.4434861988,774.300573393703,TRUE
"11","Employee 11",69179.8522532918,60477.3770808242,-8702.47517246753,FALSE
"12","Employee 12",67212.7165785059,68765.3411342762,1552.62455577031,TRUE
"13","Employee 13",67559.8906050436,58022.6755316835,-9537.21507336013,FALSE
"14","Employee 14",65165.7807873562,71562.6153373159,6396.83454995975,TRUE
"15","Employee 15",60690.3648283333,51980.7505677454,-8709.61426058784,FALSE
"16","Employee 16",61564.0747686848,72528.2397831324,10964.1650144476,TRUE
"17","Employee 17",63714.6789371036,75982.6145833358,12267.9356462322,TRUE
"18","Employee 18",62599.5818898082,76557.5926518068,13958.0107619986,TRUE
"19","Employee 19",62887.8631186672,56444.4782561623,-6443.3848625049,FALSE
"20","Employee 20",67194.8133455589,60644.3766318262,-6550.43671373278,FALSE
"21","Employee 21",68783.6466217414,63832.8623271082,-4950.78429463319,FALSE
"22","Employee 22",62579.4917740859,73817.7230139263,11238.2312398404,TRUE
"23","Employee 23",62169.4904565811,65124.3703113869,2954.87985480577,TRUE
"24","Employee 24",67626.4994172379,72208.2829463761,4581.78352913819,TRUE
"25","Employee 25",68959.0644463897,69182.783504948,223.719058558345,TRUE
"26","Employee 26",60626.0390230455,52169.6442575194,-8456.39476552606,FALSE
"27","Employee 27",66725.1398297958,73873.8369150087,7148.69708521292,TRUE
"28","Employee 28",60621.853673365,53145.6386996433,-7476.21497372165,FALSE
"29","Employee 29",66576.8657787703,64513.0146539304,-2063.85112483986,FALSE
"30","Employee 30",64389.3786962144,73531.1340889893,9141.75539277494,TRUE
"31","Employee 31",69601.957523264,69426.9157631788,-175.041760085151,FALSE
"32","Employee 32",69360.967639368,76109.3539523426,6748.38631297462,TRUE
"33","Employee 33",62128.050387837,69015.3478167485,6887.29742891155,TRUE
"34","Employee 34",65520.5853958614,74643.1762888096,9122.59089294821,TRUE
"35","Employee 35",62607.7523385175,70426.397388801,7818.64505028352,TRUE
"36","Employee 36",63156.0271489434,69598.45958394,6442.43243499659,TRUE
"37","Employee 37",62854.970516637,74266.1067983136,11411.1362816766,TRUE
"38","Employee 38",63900.9523345158,62527.0680058748,-1373.884328641,FALSE
"39","Employee 39",60489.0605900437,54144.1060055513,-6344.95458449237,FALSE
"40","Employee 40",68323.2536353171,60073.738390347,-8249.5152449701,FALSE
"41","Employee 41",60575.5338142626,74656.5781265963,14081.0443123337,TRUE
"42","Employee 42",69622.4269689992,61271.3611952495,-8351.06577374972,FALSE
"43","Employee 43",60749.0815385245,67094.6464606095,6345.56492208503,TRUE
"44","Employee 44",69987.7709965222,76644.4832878187,6656.71229129657,TRUE
"45","Employee 45",63305.0758088939,55194.2879823036,-8110.78782659024,FALSE
"46","Employee 46",60442.2425338998,55227.0906150807,-5215.15191881917,FALSE
"47","Employee 47",60744.9897588231,61549.8176484834,804.827889660373,TRUE
"48","Employee 48",64943.3995829895,62852.9534535483,-2090.44612944126,FALSE
"49","Employee 49",64343.1105162017,69496.7554137111,5153.64489750937,TRUE
"50","Employee 50",65279.6323248185,75546.2525459006,10266.6202210821,TRUE
"51","Employee 51",63637.4807031825,71301.92244309,7664.44173990749,TRUE
"52","Employee 52",68921.9194487669,66294.6478580125,-2627.27159075439,FALSE
"53","Employee 53",62570.3136692755,71163.6597116012,8593.34604232572,TRUE
"54","Employee 54",69854.0949379094,79003.880508244,9149.78557033464,TRUE
"55","Employee 55",68143.0817837827,58828.9419887587,-9314.13979502395,FALSE
"56","Employee 56",67400.4025990143,62499.6733712032,-4900.7292278111,FALSE
"57","Employee 57",61723.0420839041,52465.8993410412,-9257.14274286292,FALSE
"58","Employee 58",63978.5329671577,75145.631727064,11167.0987599064,TRUE
"59","Employee 59",60307.2302066721,55401.9591922406,-4905.27101443149,FALSE
"60","Employee 60",64799.7321025468,69482.4302126653,4682.69811011851,TRUE
"61","Employee 61",65265.3646958061,61744.0648830961,-3521.29981270991,FALSE
"62","Employee 62",60568.8897171058,74600.7590799127,14031.8693628069,TRUE
"63","Employee 63",65925.7252980024,66793.9425411168,868.217243114486,TRUE
"64","Employee 64",64006.8710874766,67594.8895234615,3588.01843598485,TRUE
"65","Employee 65",67370.5022921786,65261.4539139904,-2109.04837818816,FALSE
"66","Employee 66",61726.2479802594,58607.9702817369,-3118.27769852243,FALSE
"67","Employee 67",62128.3099311404,60069.9567061383,-2058.35322500207,FALSE
"68","Employee 68",61074.2927226238,71026.4441522304,9952.1514296066,TRUE
"69","Employee 69",65563.904796727,61517.2080614138,-4046.69673531316,FALSE
"70","Employee 70",66086.2426762469,68652.0613729954,2565.81869674847,TRUE
"71","Employee 71",68668.3437717147,81462.4460146297,12794.102242915,TRUE
"72","Employee 72",68232.1443967521,62304.3511318974,-5927.7932648547,FALSE
"73","Employee 73",68735.363194719,65851.061521098,-2884.30167362094,FALSE
"74","Employee 74",67160.9795698896,70231.9107449148,3070.93117502518,TRUE
"75","Employee 75",60980.5575176142,72276.2725595385,11295.7150419243,TRUE
"76","Employee 76",63254.6843681484,61530.2566543687,-1724.42771377973,FALSE
"77","Employee 77",61798.8245165907,66014.9062040728,4216.08168748207,TRUE
"78","Employee 78",69948.0040371418,63673.9340785425,-6274.06995859928,FALSE
"79","Employee 79",64333.9170748368,63385.6253523845,-948.291722452268,FALSE
"80","Employee 80",68782.6368794776,79873.2795857359,11090.6427062582,TRUE
"81","Employee 81",61460.1249573752,65291.2021474913,3831.07719011605,TRUE
"82","Employee 82",65725.4260918126,73153.9493764285,7428.52328461595,TRUE
"83","Employee 83",60864.680884406,57750.6139338948,-3114.06695051119,FALSE
"84","Employee 84",63104.8937537707,69166.8643336743,6061.97057990357,TRUE
"85","Employee 85",67429.2439501733,66227.3616238963,-1201.88232627697,FALSE
"86","Employee 86",65135.1574878208,74493.5068814084,9358.34939358756,TRUE
"87","Employee 87",62382.209522184,63091.1874969024,708.977974718437,TRUE
"88","Employee 88",68319.2628016695,66887.5711702276,-1431.69163144194,FALSE
"89","Employee 89",63359.3411720358,57917.7800088655,-5441.56116317026,FALSE
"90","Employee 90",65382.1267932653,71704.8270476516,6322.70025438629,TRUE
"91","Employee 91",61473.9134372212,75621.5605558828,14147.6471186616,TRUE
"92","Employee 92",67943.5412515886,78585.7079119887,10642.1666604001,TRUE
"93","Employee 93",62338.8032033108,54976.5882070642,-7362.21499624662,FALSE
"94","Employee 94",65385.2313943207,65261.6135182325,-123.617876088247,FALSE
"95","Employee 95",69453.3110642806,77486.8589907419,8033.54792646132,TRUE
"96","Employee 96",60647.1162568778,72243.9778759144,11596.8616190366,TRUE
"97","Employee 97",66394.9175365269,70399.8786583543,4004.96112182736,TRUE
"98","Employee 98",66988.5918288492,81267.6949193701,14279.1030905209,TRUE
"99","Employee 99",68027.5473440997,67433.7019526865,-593.845391413197,FALSE
"100","Employee 100",63030.0690117292,58185.2634635288,-4844.80554820038,FALSE
